THERMO ALL
   200.000  1000.000  6000.000
N2 REF ELEMENT    G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 1.53287332E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 1.52240356E+05 2.96747038E+00 0.00000000E+00 　 4
N2(v15)           G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 1.64891850E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 1.63844874E+05 2.96747038E+00 0.00000000E+00 　 4
N2(A3)            G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 1.76496368E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 1.75449392E+05 2.96747038E+00 0.00000000E+00 　 4
N2(B3)            G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 1.88100887E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 1.87053910E+05 2.96747038E+00 0.00000000E+00 　 4
N2(a`1)           G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 1.99705405E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 1.98658428E+05 2.96747038E+00 0.00000000E+00 　 4
N2(B1)            G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 2.11309923E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 2.10262947E+05 2.96747038E+00 0.00000000E+00 　 4
N2(b`1)           G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 2.22914441E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 2.21867465E+05 2.96747038E+00 0.00000000E+00 　 4
N2(C3)            G 8/02N  2.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.95257637E+00 1.39690040E-03-4.92631603E-07 7.86010195E-11-4.60755204E-15 　 2
 2.34518959E+05 5.87188762E+00 3.53100528E+00-1.23660988E-04-5.02999433E-07 　 3
 2.43530612E-09-1.40881235E-12 2.33471983E+05 2.96747038E+00 0.00000000E+00 　 4
N                 L 6/88N   1    0    0    0G   200.000  6000.000 1000.        1
 0.24159429E+01 0.17489065E-03-0.11902369E-06 0.30226244E-10-0.20360983E-14    2
 0.56133775E+05 0.46496095E+01 0.25000000E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00 0.56104638E+05 0.41939088E+01 0.56850013E+05    4
N(2D)             L 6/88N   1    0    0    0G   200.000  6000.000 1000.        1
 2.41594290E+00 1.74890650E-04-1.19023690E-07 3.02262440E-11-2.03609830E-15 　 2
 8.38801778E+04 4.64960950E+00 2.50000000E+00 0.00000000E+00 0.00000000E+00 　 3
 0.00000000E+00 0.00000000E+00 1.39984816E+05 4.19390880E+00 5.68500130E+04 　 4
N(2P)             L 6/88N   1    0    0    0G   200.000  6000.000 1000.        1
